Store-8 ; Order-632 ;         1.00
Store-8 ; Order-633 ;         1.00
Store-8 ; Order-634 ;         1.00
Store-8 ; Order-635 ;         1.00
Store-8 ; Order-636 ;         1.00
Store-8 ; Order-637 ;         1.00
Store-8 ; Order-638 ;         1.00
Store-8 ; Order-639 ;         1.00
Store-8 ; Order-640 ;         1.00
Store-8 ; Order-641 ;         1.00
Store-8 ; Order-642 ;         1.00
Store-8 ; Order-643 ;         1.00
Store-8 ; Order-644 ;         1.00
Store-8 ; Order-645 ;         1.00
Store-8 ; Order-646 ;         1.00
Store-8 ; Order-647 ;         1.00
Store-8 ; Order-648 ;         1.00
Store-8 ; Order-649 ;         1.00
Store-8 ; Order-650 ;         1.00
Store-8 ; Order-651 ;         1.00
Store-9 ; Order-632 ;         1.00
Store-9 ; Order-633 ;         1.00
Store-9 ; Order-634 ;         1.00
Store-9 ; Order-635 ;         1.00
Store-9 ; Order-636 ;         1.00
Store-9 ; Order-637 ;         1.00
Store-9 ; Order-638 ;         1.00
Store-9 ; Order-639 ;         1.00
Store-9 ; Order-640 ;         1.00
Store-9 ; Order-641 ;         1.00
Store-9 ; Order-642 ;         1.00
Store-9 ; Order-643 ;         1.00
Store-9 ; Order-644 ;         1.00
Store-9 ; Order-645 ;         1.00
Store-9 ; Order-646 ;         1.00
Store-9 ; Order-647 ;         1.00
Store-9 ; Order-648 ;         1.00
Store-9 ; Order-649 ;         1.00
Store-9 ; Order-650 ;         1.00
Store-9 ; Order-651 ;         1.00
Store-10 ; Order-632 ;         1.00
Store-10 ; Order-633 ;         1.00
Store-10 ; Order-634 ;         1.00
Store-10 ; Order-635 ;         1.00
Store-10 ; Order-636 ;         1.00
Store-10 ; Order-637 ;         1.00
Store-10 ; Order-638 ;         1.00
Store-10 ; Order-639 ;         1.00
Store-10 ; Order-640 ;         1.00
Store-10 ; Order-641 ;         1.00
Store-10 ; Order-642 ;         1.00
Store-10 ; Order-643 ;         1.00
Store-10 ; Order-644 ;         1.00
Store-10 ; Order-645 ;         1.00
Store-10 ; Order-646 ;         1.00
Store-10 ; Order-647 ;         1.00
Store-10 ; Order-648 ;         1.00
Store-10 ; Order-649 ;         1.00
Store-10 ; Order-650 ;         1.00
Store-10 ; Order-651 ;         1.00
Store-11 ; Order-632 ;         1.00
Store-11 ; Order-633 ;         1.00
Store-11 ; Order-634 ;         1.00
Store-11 ; Order-635 ;         1.00
Store-11 ; Order-636 ;         1.00
Store-11 ; Order-637 ;         1.00
Store-11 ; Order-638 ;         1.00
Store-11 ; Order-639 ;         1.00
Store-11 ; Order-640 ;         1.00
Store-11 ; Order-641 ;         1.00
Store-11 ; Order-642 ;         1.00
Store-11 ; Order-643 ;         1.00
Store-11 ; Order-644 ;         1.00
Store-11 ; Order-645 ;         1.00
Store-11 ; Order-646 ;         1.00
Store-11 ; Order-647 ;         1.00
Store-11 ; Order-648 ;         1.00
Store-11 ; Order-649 ;         1.00
Store-11 ; Order-650 ;         1.00
Store-11 ; Order-651 ;         1.00
Store-12 ; Order-632 ;         1.00
Store-12 ; Order-633 ;         1.00
Store-12 ; Order-634 ;         1.00
Store-12 ; Order-635 ;         1.00
Store-12 ; Order-636 ;         1.00
Store-12 ; Order-637 ;         1.00
Store-12 ; Order-638 ;         1.00
Store-12 ; Order-639 ;         1.00
Store-12 ; Order-640 ;         1.00
Store-12 ; Order-641 ;         1.00
Store-12 ; Order-642 ;         1.00
Store-12 ; Order-643 ;         1.00
Store-12 ; Order-644 ;         1.00
Store-12 ; Order-645 ;         1.00
Store-12 ; Order-646 ;         1.00
Store-12 ; Order-647 ;         1.00
Store-12 ; Order-648 ;         1.00
Store-12 ; Order-649 ;         1.00
Store-12 ; Order-650 ;         1.00
Store-12 ; Order-651 ;         1.00
Store-13 ; Order-632 ;         1.00
Store-13 ; Order-633 ;         1.00
Store-13 ; Order-634 ;         1.00
Store-13 ; Order-635 ;         1.00
Store-13 ; Order-636 ;         1.00
Store-13 ; Order-637 ;         1.00
Store-13 ; Order-638 ;         1.00
Store-13 ; Order-639 ;         1.00
Store-13 ; Order-640 ;         1.00
Store-13 ; Order-641 ;         1.00
Store-13 ; Order-642 ;         1.00
Store-13 ; Order-643 ;         1.00
Store-13 ; Order-644 ;         1.00
Store-13 ; Order-645 ;         1.00
Store-13 ; Order-646 ;         1.00
Store-13 ; Order-647 ;         1.00
Store-13 ; Order-648 ;         1.00
Store-13 ; Order-649 ;         1.00
Store-13 ; Order-650 ;         1.00
Store-13 ; Order-651 ;         1.00
Store-14 ; Order-632 ;         1.00
Store-14 ; Order-633 ;         1.00
Store-14 ; Order-634 ;         1.00
Store-14 ; Order-635 ;         1.00
Store-14 ; Order-636 ;         1.00
Store-14 ; Order-637 ;         1.00
Store-14 ; Order-638 ;         1.00
Store-14 ; Order-639 ;         1.00
Store-14 ; Order-640 ;         1.00
Store-14 ; Order-641 ;         1.00
Store-14 ; Order-642 ;         1.00
Store-14 ; Order-643 ;         1.00
Store-14 ; Order-644 ;         1.00
Store-14 ; Order-645 ;         1.00
Store-14 ; Order-646 ;         1.00
Store-14 ; Order-647 ;         1.00
Store-14 ; Order-648 ;         1.00
Store-14 ; Order-649 ;         1.00
Store-14 ; Order-650 ;         1.00
Store-14 ; Order-651 ;         1.00
Store-17 ; Order-632 ;         1.00
Store-17 ; Order-633 ;         1.00
Store-17 ; Order-634 ;         1.00
Store-17 ; Order-635 ;         1.00
Store-17 ; Order-636 ;         1.00
Store-17 ; Order-637 ;         1.00
Store-17 ; Order-638 ;         1.00
Store-17 ; Order-639 ;         1.00
Store-17 ; Order-640 ;         1.00
Store-17 ; Order-641 ;         1.00
Store-17 ; Order-642 ;         1.00
Store-17 ; Order-643 ;         1.00
Store-17 ; Order-644 ;         1.00
Store-17 ; Order-645 ;         1.00
Store-17 ; Order-646 ;         1.00
Store-17 ; Order-647 ;         1.00
Store-17 ; Order-648 ;         1.00
Store-17 ; Order-649 ;         1.00
Store-17 ; Order-650 ;         1.00
Store-17 ; Order-651 ;         1.00
Store-18 ; Order-632 ;         1.00
Store-18 ; Order-633 ;         1.00
Store-18 ; Order-634 ;         1.00
Store-18 ; Order-635 ;         1.00
Store-18 ; Order-636 ;         1.00
Store-18 ; Order-637 ;         1.00
Store-18 ; Order-638 ;         1.00
